time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
0.00074816,True,False,False,True,False,False,False,True,True,1048581,67109185,118,186
8.11e-06,False,False,False,True,False,False,True,True,False,119,7625,133,203
1.097e-05,False,True,False,False,False,False,False,False,True,126,190,129,8260
1.001e-05,True,True,False,True,True,True,False,False,False,1048571,1572863,136,205
4.292e-05,False,False,True,False,True,False,False,True,True,137,8770,1048579,67109065
0.00076699,False,True,True,False,False,True,False,True,False,120,187,1048582,67109256
6.795e-05,False,False,True,True,False,False,False,False,True,133,8522,1048585,1572885
7.87e-06,False,True,False,True,True,True,True,False,True,125,195,131,198
7.105e-05,True,True,True,True,False,False,True,True,False,1048569,1572859,1048566,1572855
0.00078297,True,False,False,False,False,True,True,False,False,1048567,67108293,132,8453
8.011e-05,False,True,True,True,False,True,False,False,True,119,184,1048577,1572871
9.06e-06,False,True,False,False,False,False,True,False,False,135,208,123,7873
6.795e-05,True,True,False,True,False,False,False,False,False,1048586,1572885,135,212
3.505e-05,True,False,False,True,True,False,False,True,True,1048570,67108487,120,185
5.96e-06,False,True,False,False,True,True,False,True,False,133,204,124,7937
4.411e-05,True,False,False,False,True,True,True,False,False,1048578,67108996,136,8714
0.00077701,True,False,False,True,False,True,True,True,True,1048567,67108297,131,206
4.697e-05,False,True,True,False,True,True,True,True,True,121,188,1048580,67109130
7.2e-05,False,True,True,True,False,True,False,True,False,125,193,1048571,1572861
0.00078988,True,False,False,False,False,False,True,False,True,1048574,67108744,132,8453
6.294e-05,False,True,True,False,True,True,True,False,True,136,211,1048572,67108615
0.01964283,True,False,True,False,True,False,True,False,True,1048567,67108296,1048570,67108481
0.000103,True,False,False,True,True,True,True,False,True,1048582,67109250,124,193
8.11e-06,False,False,False,False,True,True,True,False,False,126,8069,129,8266
0.00373697,True,False,True,False,False,False,False,True,True,1048574,67108746,1048585,67109441
8.82e-06,False,False,False,True,False,False,False,False,True,127,8129,130,196
5.96e-06,False,False,False,True,True,True,False,True,False,128,8196,122,185
0.00013995,True,False,True,True,True,False,False,False,True,1048578,67108999,1048586,1572886
6.91e-06,True,True,False,False,True,True,False,False,True,1048579,1572876,127,8132
4.05e-06,False,False,False,False,False,True,False,True,False,123,7874,122,7818
0.01978517,True,False,True,False,False,False,True,False,True,1048570,67108490,1048576,67108872
5.01e-06,False,False,False,False,True,True,False,True,False,132,8454,131,8387
6.91e-06,False,True,False,True,True,True,False,False,False,131,197,121,191
0.00097108,True,False,True,True,False,False,False,True,False,1048582,67109248,1048568,1572862
0.00339913,True,False,True,False,True,False,False,True,True,1048579,67109059,1048567,67108296
8.583e-05,True,True,True,True,False,True,False,True,True,1048585,1572883,1048580,1572877
0.00957394,True,False,True,False,True,True,False,True,False,1048586,67109508,1048580,67109121
6.91e-06,False,False,False,False,True,True,False,False,False,135,8648,128,8192
3.195e-05,True,False,False,False,True,False,False,True,False,1048574,67108742,138,8834
0.00022197,True,True,True,True,True,False,True,False,True,1048576,1572870,1048570,1572861
0.00015593,True,False,True,True,True,True,True,True,True,1048568,67108359,1048569,1572860
0.00087905,True,False,True,True,False,True,True,True,False,1048581,67109188,1048578,1572874
4.816e-05,False,False,True,False,True,True,True,False,True,134,8585,1048586,67109504
1.311e-05,False,False,True,True,True,True,False,True,True,129,8258,1048569,1572855
5.01e-06,False,True,False,True,True,True,True,False,False,122,189,126,191
1.001e-05,False,True,False,False,True,False,True,False,True,118,178,132,8455
4.05e-06,False,True,False,True,False,False,False,True,False,122,185,137,205
8.297e-05,True,True,True,True,False,True,False,True,False,1048575,1572867,1048572,1572867
0.01970506,True,False,True,False,False,True,False,False,True,1048586,67109513,1048586,67109512
