time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
0.00503182,True,True,True,True,True,False,False,True,True,1048583,1572878,1048583,1572882
5.007e-05,True,True,True,True,True,True,True,True,False,1048574,1572865,1048568,1572861
0.00490499,True,True,True,True,True,False,False,True,False,1048582,1572876,1048577,1572865
0.00098109,True,True,True,False,False,True,False,True,True,1048586,1572889,1048585,67109450
0.00500894,True,True,True,True,True,False,True,True,True,1048571,1572859,1048574,1572865
0.00362492,True,False,True,False,False,True,True,True,True,1048577,67108932,1048575,67108803
0.0008781,True,True,True,False,False,True,True,True,True,1048581,1572880,1048584,67109378
0.00312495,True,False,True,True,False,False,False,True,False,1048576,67108871,1048577,1572867
0.00092888,True,False,True,True,False,True,False,True,False,1048585,67109447,1048581,1572881
0.01018906,True,False,True,False,True,False,False,True,False,1048584,67109376,1048567,67108290
0.00357103,True,False,True,True,False,False,True,True,False,1048574,67108736,1048572,1572858
0.00362682,True,False,True,False,True,False,True,True,True,1048584,67109383,1048566,67108228
0.00343418,True,False,True,False,True,True,True,True,False,1048577,67108937,1048568,67108361
0.00400305,True,False,True,True,False,False,False,True,True,1048576,67108865,1048574,1572864
0.00367999,True,False,True,False,False,False,False,True,True,1048584,67109379,1048586,67109507
0.00522399,True,True,True,False,False,False,False,True,True,1048579,1572871,1048575,67108808
0.00015998,True,True,True,False,True,True,False,True,True,1048566,1572857,1048571,67108550
0.00229788,True,False,True,True,True,False,False,True,False,1048571,67108551,1048567,1572855
0.00545716,True,True,True,True,False,False,True,True,False,1048573,1572861,1048581,1572880
0.00358391,True,False,True,False,False,True,False,True,True,1048582,67109254,1048579,67109064
0.00280714,True,False,True,True,True,False,False,True,True,1048579,67109057,1048578,1572870
0.00993299,True,False,True,False,False,True,False,True,False,1048576,67108868,1048571,67108546
0.00357604,True,False,True,False,False,False,True,True,False,1048575,67108804,1048569,67108422
0.00019813,True,True,True,False,True,True,False,True,False,1048585,1572887,1048566,67108229
0.00524521,True,True,True,True,False,False,False,True,True,1048574,1572871,1048568,1572859
0.00014496,True,True,True,False,True,True,True,True,False,1048574,1572871,1048583,67109321
4.387e-05,True,True,True,True,False,True,False,True,False,1048574,1572864,1048566,1572858
0.00493908,True,True,True,False,False,False,False,True,False,1048584,1572884,1048573,67108679
0.00445509,True,False,True,True,True,False,True,True,False,1048574,67108740,1048569,1572862
0.00011182,True,False,True,True,True,True,True,True,False,1048575,67108802,1048572,1572859
3.791e-05,True,True,True,True,False,True,True,True,False,1048582,1572878,1048576,1572864
0.00487709,True,True,True,True,False,False,False,True,False,1048570,1572864,1048578,1572869
0.00507092,True,True,True,True,True,False,True,True,False,1048573,1572860,1048576,1572874
0.00369,True,False,True,False,True,True,False,True,True,1048578,67108994,1048586,67109514
0.00375295,True,False,True,False,True,True,True,True,True,1048577,67108928,1048580,67109122
0.00455284,True,False,True,False,True,False,False,True,True,1048580,67109127,1048575,67108803
4.911e-05,True,True,True,True,False,True,True,True,True,1048577,1572869,1048568,1572858
3.791e-05,True,True,True,True,True,True,True,True,True,1048586,1572885,1048567,1572857
0.000108,True,False,True,True,True,True,False,True,True,1048580,67109130,1048579,1572871
0.00367999,True,False,True,False,False,False,True,True,True,1048581,67109190,1048586,67109512
0.00258899,True,False,True,True,True,False,True,True,True,1048584,67109377,1048566,1572858
0.00094295,True,True,True,False,False,True,True,True,False,1048568,1572859,1048567,67108291
0.00282693,True,True,True,False,True,False,False,True,True,1048569,1572856,1048580,67109120
0.00093603,True,True,True,False,False,True,False,True,False,1048580,1572870,1048576,67108865
0.01050997,True,False,True,False,False,False,False,True,False,1048584,67109384,1048580,67109123
4.506e-05,True,True,True,True,True,True,False,True,False,1048574,1572864,1048578,1572869
0.00238395,True,True,True,False,True,False,False,True,False,1048585,1572877,1048580,67109120
4.005e-05,True,True,True,True,False,True,False,True,True,1048573,1572868,1048578,1572870
0.00327206,True,True,True,False,False,False,True,True,False,1048572,1572863,1048581,67109190
0.00011301,True,False,True,True,True,True,False,True,False,1048575,67108803,1048586,1572880
0.00329399,True,True,True,False,False,False,True,True,True,1048582,1572875,1048570,67108485
0.00262785,True,True,True,False,True,False,True,True,True,1048581,1572873,1048584,67109383
0.00010705,True,False,True,True,True,True,True,True,True,1048566,67108229,1048581,1572873
0.01001,True,False,True,False,True,True,False,True,False,1048568,67108362,1048585,67109440
0.00251102,True,True,True,False,True,False,True,True,False,1048571,1572860,1048581,67109185
0.00073886,True,False,True,True,False,True,True,True,False,1048578,67108993,1048582,1572876
0.00490713,True,True,True,True,False,False,True,True,True,1048566,1572856,1048578,1572870
0.00324106,True,False,True,True,False,False,True,True,True,1048582,67109253,1048566,1572859
0.00065494,True,False,True,True,False,True,True,True,True,1048576,67108865,1048571,1572857
0.00359917,True,False,True,False,False,True,True,True,False,1048575,67108802,1048567,67108289
0.00016308,True,True,True,False,True,True,True,True,True,1048583,1572881,1048566,67108225
0.00343895,True,False,True,False,True,False,True,True,False,1048574,67108742,1048572,67108610
0.00071597,True,False,True,True,False,True,False,True,True,1048571,67108552,1048578,1572869
4.101e-05,True,True,True,True,True,True,False,True,True,1048581,1572874,1048568,1572858
9.918e-05,True,False,True,True,True,True,True,True,False,1048576,67108872,1048569,1572860
0.0034492,True,False,True,False,False,True,True,True,False,1048573,67108680,1048574,67108739
0.00254607,True,False,True,True,True,False,True,True,False,1048568,67108357,1048572,1572860
0.00484705,True,True,True,True,True,False,True,True,False,1048568,1572862,1048586,1572885
0.002285,True,True,True,False,True,False,False,True,False,1048569,1572854,1048582,67109251
0.00016117,True,True,True,False,True,True,False,True,True,1048566,1572849,1048584,67109383
4.601e-05,True,True,True,True,True,True,False,True,False,1048577,1572873,1048574,1572869
0.00370502,True,False,True,False,False,True,False,True,True,1048583,67109317,1048583,67109316
0.01010203,True,False,True,False,False,True,False,True,False,1048584,67109381,1048577,67108936
0.00366712,True,False,True,False,False,False,False,True,True,1048580,67109127,1048566,67108224
0.00493407,True,True,True,True,True,False,False,True,False,1048581,1572877,1048575,1572865
0.00337315,True,False,True,True,False,False,True,True,False,1048573,67108681,1048568,1572855
3.91e-05,True,True,True,True,True,True,True,True,True,1048575,1572870,1048572,1572859
0.00071788,True,False,True,True,False,True,True,True,False,1048571,67108547,1048585,1572877
0.00440788,True,False,True,False,True,True,True,True,False,1048581,67109186,1048583,67109317
0.00362611,True,False,True,False,False,True,True,True,True,1048586,67109510,1048571,67108548
3.695e-05,True,True,True,True,False,True,True,True,False,1048577,1572867,1048575,1572870
0.00085902,True,True,True,False,False,True,False,True,True,1048569,1572853,1048582,67109251
0.005234,True,True,True,True,True,False,False,True,True,1048572,1572863,1048570,1572855
0.00427794,True,True,True,False,True,False,True,True,True,1048576,1572869,1048584,67109378
0.000139,True,True,True,False,True,True,True,True,False,1048572,1572863,1048576,67108869
0.0024991,True,True,True,False,True,False,True,True,False,1048566,1572856,1048568,67108352
0.00084615,True,False,True,True,False,True,False,True,True,1048576,67108870,1048567,1572850
0.00351405,True,False,True,False,True,False,True,True,True,1048586,67109507,1048581,67109188
0.00351405,True,False,True,True,False,False,True,True,True,1048584,67109382,1048580,1572880
0.00343204,True,False,True,False,True,True,False,True,True,1048583,67109317,1048583,67109317
0.01255393,True,False,True,False,True,False,False,True,False,1048584,67109383,1048579,67109056
0.00355792,True,False,True,False,True,True,True,True,True,1048582,67109258,1048569,67108424
0.00225401,True,False,True,True,True,False,False,True,False,1048580,67109123,1048583,1572877
0.0036869,True,False,True,False,True,False,True,True,False,1048578,67109002,1048586,67109509
0.00499797,True,True,True,True,False,False,True,True,True,1048568,1572861,1048572,1572861
0.00313902,True,True,True,False,False,False,False,True,False,1048571,1572858,1048584,67109380
0.00067782,True,False,True,True,False,True,True,True,True,1048578,67108997,1048585,1572884
0.00987601,True,False,True,False,False,False,False,True,False,1048574,67108745,1048584,67109381
0.00346589,True,False,True,True,False,False,False,True,False,1048574,67108741,1048577,1572866
0.00424695,True,False,True,True,True,False,True,True,True,1048581,67109186,1048575,1572863
0.00365114,True,False,True,False,True,False,False,True,True,1048577,67108928,1048571,67108550
0.01009989,True,False,True,False,True,True,False,True,False,1048576,67108866,1048570,67108488
0.00016499,True,True,True,False,True,True,False,True,False,1048574,1572863,1048583,67109313
0.00341678,True,True,True,False,False,False,True,True,True,1048579,1572868,1048572,67108617
0.00011301,True,False,True,True,True,True,False,True,False,1048572,67108616,1048578,1572873
0.00256395,True,False,True,True,True,False,False,True,True,1048569,67108420,1048579,1572877
0.00095701,True,True,True,False,False,True,True,True,False,1048567,1572856,1048572,67108611
0.00113487,True,True,True,False,False,True,False,True,False,1048575,1572866,1048573,67108677
0.00507689,True,True,True,True,False,False,False,True,False,1048569,1572859,1048580,1572878
3.91e-05,True,True,True,True,True,True,True,True,False,1048567,1572851,1048567,1572859
4.101e-05,True,True,True,True,False,True,False,True,False,1048581,1572873,1048576,1572864
0.000103,True,False,True,True,True,True,False,True,True,1048576,67108874,1048578,1572868
