class,time,size1,density1,universe1,size2,density2,universe2
cyroaring,0.0006241798400878906,1689805,0.5,3379610,6943022,0.5,13886044
pyroaring,0.0002758502960205078,1689805,0.5,3379610,6943022,0.5,13886044
set,0.2584044933319092,1689805,0.5,3379610,6943022,0.5,13886044
set,0.8487849235534668,6362850,0.04,159071250,8727240,0.04,218181000
cyroaring,0.0787038803100586,6362850,0.04,159071250,8727240,0.04,218181000
pyroaring,0.018152475357055664,6362850,0.04,159071250,8727240,0.04,218181000
pyroaring,9.5367431640625e-05,5067489,0.999,5072561,8598652,0.999,8607259
set,0.2719714641571045,5067489,0.999,5072561,8598652,0.999,8607259
cyroaring,6.651878356933594e-05,5067489,0.999,5072561,8598652,0.999,8607259
cyroaring,0.012703895568847656,874637,0.04,21865925,8718042,0.04,217951050
pyroaring,0.004679203033447266,874637,0.04,21865925,8718042,0.04,217951050
set,0.5555160045623779,874637,0.04,21865925,8718042,0.04,217951050
set,0.3493053913116455,4166882,0.1,41668820,2544191,0.1,25441910
pyroaring,0.0012176036834716797,4166882,0.1,41668820,2544191,0.1,25441910
cyroaring,0.00115966796875,4166882,0.1,41668820,2544191,0.1,25441910
cyroaring,0.002504110336303711,9269638,0.1,92696380,5284374,0.1,52843740
set,0.7066667079925537,9269638,0.1,92696380,5284374,0.1,52843740
pyroaring,0.0026769638061523438,9269638,0.1,92696380,5284374,0.1,52843740
pyroaring,0.002558469772338867,9011755,0.1,90117550,5176960,0.1,51769600
cyroaring,0.002496480941772461,9011755,0.1,90117550,5176960,0.1,51769600
set,0.6808815002441406,9011755,0.1,90117550,5176960,0.1,51769600
set,0.2744913101196289,4449683,0.1,44496830,1937195,0.1,19371950
pyroaring,0.0011565685272216797,4449683,0.1,44496830,1937195,0.1,19371950
cyroaring,0.0011053085327148438,4449683,0.1,44496830,1937195,0.1,19371950
pyroaring,0.00042557716369628906,7960925,0.5,15921850,5990306,0.5,11980612
set,0.4915313720703125,7960925,0.5,15921850,5990306,0.5,11980612
cyroaring,0.00043773651123046875,7960925,0.5,15921850,5990306,0.5,11980612
cyroaring,0.03877711296081543,3711632,0.01,371163200,7802638,0.01,780263800
set,0.6377475261688232,3711632,0.01,371163200,7802638,0.01,780263800
pyroaring,0.013044595718383789,3711632,0.01,371163200,7802638,0.01,780263800
set,0.34086108207702637,3490541,0.1,34905410,2839343,0.1,28393430
pyroaring,0.001081228256225586,3490541,0.1,34905410,2839343,0.1,28393430
cyroaring,0.0010449886322021484,3490541,0.1,34905410,2839343,0.1,28393430
pyroaring,0.0004684925079345703,8968029,0.5,17936058,5751394,0.5,11502788
cyroaring,0.00046753883361816406,8968029,0.5,17936058,5751394,0.5,11502788
set,0.3984193801879883,8968029,0.5,17936058,5751394,0.5,11502788
cyroaring,0.009803533554077148,662620,0.01,66262000,8067912,0.01,806791200
pyroaring,0.006713390350341797,662620,0.01,66262000,8067912,0.01,806791200
set,0.525177001953125,662620,0.01,66262000,8067912,0.01,806791200
cyroaring,2.09808349609375e-05,1878842,0.999,1880722,814609,0.999,815424
set,0.04031014442443848,1878842,0.999,1880722,814609,0.999,815424
pyroaring,3.0994415283203125e-05,1878842,0.999,1880722,814609,0.999,815424
cyroaring,0.023583412170410156,9481727,0.01,948172700,2245093,0.01,224509300
set,0.476346492767334,9481727,0.01,948172700,2245093,0.01,224509300
pyroaring,0.011451244354248047,9481727,0.01,948172700,2245093,0.01,224509300
pyroaring,3.743171691894531e-05,969185,0.999,970155,5615575,0.999,5621196
cyroaring,2.7894973754882812e-05,969185,0.999,970155,5615575,0.999,5621196
set,0.10884833335876465,969185,0.999,970155,5615575,0.999,5621196
pyroaring,0.0002586841583251953,2475605,0.5,4951210,6008027,0.5,12016054
cyroaring,0.0002846717834472656,2475605,0.5,4951210,6008027,0.5,12016054
set,0.292510986328125,2475605,0.5,4951210,6008027,0.5,12016054
set,0.27606892585754395,4658893,0.01,465889300,2207027,0.01,220702700
cyroaring,0.020897388458251953,4658893,0.01,465889300,2207027,0.01,220702700
pyroaring,0.00807499885559082,4658893,0.01,465889300,2207027,0.01,220702700
cyroaring,3.886222839355469e-05,2831299,0.999,2834133,9099918,0.999,9109027
pyroaring,7.104873657226562e-05,2831299,0.999,2834133,9099918,0.999,9109027
set,0.21040892601013184,2831299,0.999,2834133,9099918,0.999,9109027
cyroaring,3.4332275390625e-05,2863502,0.999,2866368,7033783,0.999,7040823
pyroaring,6.4849853515625e-05,2863502,0.999,2866368,7033783,0.999,7040823
set,0.20318913459777832,2863502,0.999,2866368,7033783,0.999,7040823
set,0.4103105068206787,9318447,0.04,232961175,1133391,0.04,28334775
pyroaring,0.005301237106323242,9318447,0.04,232961175,1133391,0.04,28334775
cyroaring,0.015419244766235352,9318447,0.04,232961175,1133391,0.04,28334775
cyroaring,0.0019414424896240234,7135789,0.1,71357890,4313418,0.1,43134180
set,0.6406309604644775,7135789,0.1,71357890,4313418,0.1,43134180
pyroaring,0.002071857452392578,7135789,0.1,71357890,4313418,0.1,43134180
set,0.3986396789550781,7493707,0.1,74937070,2574465,0.1,25744650
cyroaring,0.0017995834350585938,7493707,0.1,74937070,2574465,0.1,25744650
pyroaring,0.0019223690032958984,7493707,0.1,74937070,2574465,0.1,25744650
pyroaring,0.002290964126586914,1769397,0.1,17693970,9700147,0.1,97001470
set,0.6298947334289551,1769397,0.1,17693970,9700147,0.1,97001470
cyroaring,0.002162456512451172,1769397,0.1,17693970,9700147,0.1,97001470
cyroaring,0.061750173568725586,5199649,0.04,129991225,9324953,0.04,233123825
set,0.845811128616333,5199649,0.04,129991225,9324953,0.04,233123825
pyroaring,0.012079715728759766,5199649,0.04,129991225,9324953,0.04,233123825
cyroaring,0.013335704803466797,1365476,0.01,136547600,3604840,0.01,360484000
set,0.26711440086364746,1365476,0.01,136547600,3604840,0.01,360484000
pyroaring,0.005335092544555664,1365476,0.01,136547600,3604840,0.01,360484000
cyroaring,3.886222839355469e-05,5641274,0.999,5646920,3927175,0.999,3931106
