time,size1,density1,universe1,size2,density2,universe2
0.0462811,10969591,0.04,274239775,31328895,0.04,783222375
0.00016594,28332711,0.999,28361072,7317536,0.999,7324860
0.00038314,22739316,0.999,22762078,31872533,0.999,31904437
0.02158999,34804168,0.1,348041680,36041848,0.1,360418480
0.01211905,20350887,0.1,203508870,20542797,0.1,205427970
0.11190295,34936404,0.01,3493640400,28280686,0.01,2828068600
0.04266691,10392010,0.04,259800250,28501153,0.04,712528825
0.00858092,16524347,0.1,165243470,1941744,0.1,19417440
0.02288985,35086020,0.1,350860200,38170372,0.1,381703720
0.00218797,26918715,0.5,53837430,37855827,0.5,75711654
0.04155803,29083806,0.04,727095150,9664024,0.04,241600600
0.01568198,11191539,0.1,111915390,29574858,0.1,295748580
0.00194311,31143010,0.5,62286020,24730072,0.5,49460144
0.03751898,13524728,0.01,1352472800,8496423,0.01,849642300
0.00033212,21080237,0.999,21101338,20649741,0.999,20670411
0.00022388,10393573,0.999,10403976,24780529,0.999,24805334
0.01963115,9533232,0.1,95332320,37398193,0.1,373981930
0.02505589,6344353,0.04,158608825,15872962,0.04,396824050
0.03104687,31947290,0.04,798682250,2743343,0.04,68583575
0.07863903,27452689,0.04,686317225,32577869,0.04,814446725
0.09992504,36502849,0.04,912571225,38055155,0.04,951378875
0.0184629,37360973,0.1,373609730,1229645,0.1,12296450
0.1099751,27507394,0.01,2750739400,36342798,0.01,3634279800
0.0004971,36038031,0.999,36074105,29449854,0.999,29479333
0.09552407,31929935,0.04,798248375,39412808,0.04,985320200
0.00050712,33949373,0.999,33983356,30875665,0.999,30906571
0.00031614,19880038,0.999,19899937,19731470,0.999,19751221
0.07362008,26201800,0.04,655045000,29630099,0.04,740752475
0.0001018,1900831,0.999,1902733,35534934,0.999,35570504
0.02743697,30607922,0.04,765198050,1066931,0.04,26673275
0.06502414,17444989,0.04,436124725,37777564,0.04,944439100
0.00053906,38598593,0.999,38637230,32375365,0.999,32407772
0.00159216,33791581,0.5,67583162,8793058,0.5,17586116
0.00040197,23994210,0.999,24018228,32284308,0.999,32316624
0.00020003,9702824,0.999,9712536,30623410,0.999,30654064
0.0010221,6722988,0.5,13445976,21141340,0.5,42282680
0.002321,33744536,0.5,67489072,38310140,0.5,76620280
0.00163603,27053619,0.5,54107238,22357773,0.5,44715546
0.00040102,24585983,0.999,24610593,28404007,0.999,28432439
0.00139093,31250791,0.5,62501582,5977260,0.5,11954520
0.01807809,33802169,0.1,338021690,3841738,0.1,38417380
0.07425213,33656739,0.04,841418475,25007919,0.04,625197975
0.00040889,24037829,0.999,24061890,24192760,0.999,24216976
0.01539516,12581084,0.1,125810840,28758955,0.1,287589550
0.00160813,29658534,0.5,59317068,18430782,0.5,36861564
0.02113199,39137826,0.1,391378260,13033855,0.1,130338550
0.00039196,36607724,0.999,36644368,21288939,0.999,21310249
0.00025296,35727419,0.999,35763182,11696581,0.999,11708289
0.00214481,37856614,0.5,75713228,25121444,0.5,50242888
0.09759879,24118101,0.01,2411810100,30487286,0.01,3048728600
0.01043296,13321258,0.1,133212580,18458723,0.1,184587230
0.02079916,39168005,0.1,391680050,9981487,0.1,99814870
0.00174284,27663372,0.5,55326744,30924700,0.5,61849400
0.05730915,11575947,0.01,1157594700,23886434,0.01,2388643400
0.00233793,32530458,0.5,65060916,39971099,0.5,79942198
0.00636411,10706733,0.1,107067330,10534800,0.1,105348000
0.00100589,24100075,0.5,48200150,1862042,0.5,3724084
0.0018959,31263715,0.5,62527430,28706845,0.5,57413690
0.03253388,22754321,0.01,2275432100,3317369,0.01,331736900
0.00091982,18814612,0.5,37629224,7683575,0.5,15367150
0.04240584,2967749,0.01,296774900,36262611,0.01,3626261100
0.02541804,22285373,0.01,2228537300,677326,0.01,67732600
0.06807899,12446833,0.01,1244683300,31911989,0.01,3191198900
0.01212406,20210360,0.1,202103600,19625957,0.1,196259570
0.02235603,31726231,0.1,317262310,38324915,0.1,383249150
0.00020194,11552277,0.999,11563840,18601758,0.999,18620378
9.584e-05,5905624,0.999,5911535,5621148,0.999,5626774
0.02190089,29917892,0.1,299178920,37697376,0.1,376973760
0.00356102,6865368,0.1,68653680,1944184,0.1,19441840
0.05668998,22972946,0.04,574323650,20310076,0.04,507751900
0.03421903,9454994,0.04,236374850,18735794,0.04,468394850
0.01919484,9742449,0.01,974244900,3042592,0.01,304259200
0.001858,27857461,0.5,55714922,30390440,0.5,60780880
0.09233212,34692445,0.01,3469244500,19525673,0.01,1952567300
0.00053596,32999960,0.999,33032992,35252511,0.999,35287798
0.00202894,36629433,0.5,73258866,23710639,0.5,47421278
0.10032701,27775782,0.01,2777578200,29604625,0.01,2960462500
0.11161995,37814256,0.01,3781425600,26244351,0.01,2624435100
0.01184893,4850177,0.04,121254425,4097327,0.04,102433175
0.03513908,35038567,0.01,3503856700,951960,0.01,95196000
0.00043201,26613997,0.999,26640637,31230284,0.999,31261545
0.00174379,27812565,0.5,55625130,27173882,0.5,54347764
0.00133491,28711298,0.5,57422596,7166239,0.5,14332478
0.00143003,13191401,0.5,26382802,28035446,0.5,56070892
0.00629401,12974383,0.1,129743830,537412,0.1,5374120
0.09850717,24140343,0.01,2414034300,31496552,0.01,3149655200
0.00097895,13477751,0.5,26955502,17226601,0.5,34453202
0.0003581,20612369,0.999,20633002,22087434,0.999,22109543
0.0001018,4025759,0.999,4029788,13590055,0.999,13603658
0.01339889,20756649,0.1,207566490,22341209,0.1,223412090
0.02237391,34704898,0.1,347048980,23545786,0.1,235457860
0.03580785,16517088,0.01,1651708800,6113134,0.01,611313400
0.00017905,34937903,0.999,34972875,4625339,0.999,4629968
0.03624988,23113054,0.04,577826350,9139178,0.04,228479450
0.02805281,1190454,0.04,29761350,31934618,0.04,798365450
0.00167608,18337109,0.5,36674218,30844480,0.5,61688960
0.04105306,39096614,0.01,3909661400,1461274,0.01,146127400
0.05677605,6615059,0.01,661505900,38152926,0.01,3815292600
0.01827812,14647053,0.1,146470530,34012039,0.1,340120390
0.00051904,30621630,0.999,30652282,38333448,0.999,38371819
0.07570481,25623667,0.04,640591675,32805354,0.04,820133850
0.10802794,24853312,0.01,2485331200,37853758,0.01,3785375800
