time,size1,density1,universe1,size2,density2,universe2
0.02173114,39093041,0.1,390930410,9113779,0.1,91137790
0.014534,2949367,0.1,29493670,28569377,0.1,285693770
0.00028086,15975028,0.999,15991019,27554410,0.999,27581991
0.00154591,31670345,0.5,63340690,11717185,0.5,23434370
0.00093293,6297536,0.5,12595072,19580231,0.5,39160462
0.00177383,32770338,0.5,65540676,17761651,0.5,35523302
0.00030899,18885187,0.999,18904091,19238397,0.999,19257654
0.12140512,32289137,0.01,3228913700,39477585,0.01,3947758500
0.01731205,31394234,0.1,313942340,12390109,0.1,123901090
0.07570219,37855506,0.04,946387650,22880446,0.04,572011150
0.00077915,10626122,0.5,21252244,13747110,0.5,27494220
0.01363397,24437549,0.1,244375490,12577941,0.1,125779410
0.03178382,3068109,0.01,306810900,20849403,0.01,2084940300
0.00013089,23940460,0.999,23964424,5401016,0.999,5406422
0.01561379,8182293,0.1,81822930,29493536,0.1,294935360
0.00025105,15519891,0.999,15535426,15405713,0.999,15421134
0.05110502,9100556,0.04,227513900,38482524,0.04,962063100
0.00036192,22269044,0.999,22291335,22620681,0.999,22643324
0.0197978,5856163,0.01,585616300,5083173,0.01,508317300
0.00191498,36342391,0.5,72684782,21943296,0.5,43886592
0.00122809,24497785,0.5,48995570,10804148,0.5,21608296
0.00039792,24585279,0.999,24609888,26549503,0.999,26576079
0.00199914,23740799,0.5,47481598,37805190,0.5,75610380
0.00804687,14444732,0.1,144447320,8181846,0.1,81818460
0.01360822,23602625,0.1,236026250,16207516,0.1,162075160
5.388e-05,2836760,0.999,2839599,4371936,0.999,4376312
0.02112007,36811824,0.1,368118240,20022683,0.1,200226830
0.00015593,4387318,0.5,8774636,285270,0.5,570540
0.04697013,26356531,0.01,2635653100,5879137,0.01,587913700
0.00053406,35284897,0.999,35320217,30434458,0.999,30464922
0.00021982,29905491,0.999,29935426,10883673,0.999,10894567
0.00176692,32737128,0.5,65474256,20308120,0.5,40616240
0.07516909,39786679,0.04,994666975,22105397,0.04,552634925
0.04160118,36451089,0.04,911277225,5373622,0.04,134340550
0.0110538,15288656,0.1,152886560,19029158,0.1,190291580
0.00022602,10045339,0.999,10055394,39869406,0.999,39909315
0.00204396,31645996,0.5,63291992,32943160,0.5,65886320
0.01881409,25807412,0.1,258074120,31215611,0.1,312156110
0.02871799,2209511,0.01,220951100,19264588,0.01,1926458800
0.01607084,12462696,0.1,124626960,29677647,0.1,296776470
0.082757,33173051,0.04,829326275,28899249,0.04,722481225
0.07182384,34490768,0.01,3449076800,12616464,0.01,1261646400
0.01795101,11327201,0.04,283180025,4151135,0.04,103778375
0.00088596,10467873,0.5,20935746,16205871,0.5,32411742
0.01760602,763524,0.01,76352400,14176670,0.01,1417667000
0.053123,18468679,0.04,461716975,20874312,0.04,521857800
0.02136707,3689970,0.01,368997000,10864450,0.01,1086445000
0.00940084,16947448,0.1,169474480,7205460,0.1,72054600
0.03236008,17323506,0.01,1732350600,4090047,0.01,409004700
0.06104612,18781032,0.04,469525800,29326315,0.04,733157875
0.0013001,30767374,0.5,61534748,1941962,0.5,3883924
0.11328411,38060227,0.01,3806022700,27673743,0.01,2767374300
0.08313394,39295234,0.04,982380850,25319887,0.04,632997175
0.00042081,26291419,0.999,26317736,26718632,0.999,26745377
0.03974295,7068354,0.01,706835400,17552747,0.01,1755274700
0.05511808,22554807,0.04,563870175,19272196,0.04,481804900
0.07100582,28037156,0.04,700928900,23490087,0.04,587252175
0.00176597,21555254,0.5,43110508,30309659,0.5,60619318
0.05588794,33860728,0.04,846518200,15230871,0.04,380771775
0.00012517,13081695,0.999,13094789,6775874,0.999,6782656
0.00954103,19414097,0.1,194140970,274789,0.1,2747890
0.01212597,1106867,0.04,27671675,12191715,0.04,304792875
0.04128122,9517629,0.04,237940725,26721557,0.04,668038925
0.01862693,30928355,0.1,309283550,24513686,0.1,245136860
0.06075788,14812470,0.04,370311750,38639415,0.04,965985375
0.03065586,32075885,0.04,801897125,1931999,0.04,48299975
5.293e-05,2209437,0.999,2211648,8391450,0.999,8399849
8.512e-05,1850320,0.999,1852172,27568075,0.999,27595670
0.08568096,16836829,0.01,1683682900,33557192,0.01,3355719200
0.01611519,22872235,0.1,228722350,27312543,0.1,273125430
0.00212598,38572425,0.5,77144850,24905271,0.5,49810542
6.294e-05,14156295,0.999,14170465,2166018,0.999,2168186
0.03663397,7947687,0.01,794768700,13457223,0.01,1345722300
0.00023508,11698901,0.999,11710611,33427039,0.999,33460499
0.03944993,36800021,0.04,920000525,3829177,0.04,95729425
0.02240705,39976728,0.1,399767280,17287346,0.1,172873460
0.00024414,13306890,0.999,13320210,27101569,0.999,27128697
0.00081086,1055119,0.5,2110238,19290061,0.5,38580122
0.000103,15315123,0.999,15330453,4888978,0.999,4893871
0.00035,35701887,0.999,35737624,18304888,0.999,18323211
0.08042598,17016418,0.01,1701641800,29641228,0.01,2964122800
0.00170684,7073520,0.5,14147040,37158408,0.5,74316816
0.00036502,3450489,0.5,6900978,7795693,0.5,15591386
0.00784111,13998010,0.1,139980100,8349751,0.1,83497510
0.00015998,12127625,0.999,12139764,9472063,0.999,9481544
0.02169108,15815240,0.01,1581524000,1406484,0.01,140648400
0.00210094,33836482,0.5,67672964,32318858,0.5,64637716
0.00182295,20784164,0.5,41568328,33227415,0.5,66454830
0.03098488,5275074,0.01,527507400,14730407,0.01,1473040700
8.583e-05,3995377,0.999,3999376,12206514,0.999,12218732
0.02440095,16175419,0.04,404385475,5742195,0.04,143554875
0.07291722,39657992,0.04,991449800,20668991,0.04,516724775
0.02420998,6626389,0.04,165659725,14324976,0.04,358124400
0.00023293,11058116,0.999,11069185,36088197,0.999,36124321
0.02406311,7792060,0.04,194801500,11431450,0.04,285786250
0.04537416,4917799,0.01,491779900,27658148,0.01,2765814800
0.02181506,15465073,0.1,154650730,39422824,0.1,394228240
0.05397391,10539480,0.01,1053948000,23655691,0.01,2365569100
0.00046206,31016710,0.999,31047757,28472355,0.999,28500855
0.00104403,11525797,0.5,23051594,19789389,0.5,39578778
0.01293206,22134567,0.1,221345670,18244402,0.1,182444020
0.00059915,10590989,0.5,21181978,5221179,0.5,10442358
