time,size1,density1,universe1,size2,density2,universe2
0.00030088,3059919,0.5,6119838,6358622,0.5,12717244
0.00035882,8301437,0.5,16602874,3048581,0.5,6097162
0.00050807,9185984,0.5,18371968,7311866,0.5,14623732
0.00041509,6728369,0.5,13456738,7398101,0.5,14796202
0.00016809,4897873,0.5,9795746,556842,0.5,1113684
0.00043607,7932492,0.5,15864984,6283061,0.5,12566122
0.00036001,2955766,0.5,5911532,7725715,0.5,15451430
0.00022197,2663786,0.5,5327572,4132744,0.5,8265488
0.00029397,4496993,0.5,8993986,5827002,0.5,11654004
0.00051093,8805382,0.5,17610764,6789642,0.5,13579284
0.000283,6841922,0.5,13683844,2510696,0.5,5021392
3.004e-05,16021,0.5,32042,900214,0.5,1800428
0.00030398,7582628,0.5,15165256,1999283,0.5,3998566
0.00056815,8794915,0.5,17589830,9742546,0.5,19485092
0.00038409,895872,0.5,1791744,9394681,0.5,18789362
0.00051212,8684240,0.5,17368480,7855192,0.5,15710384
0.00022101,3962917,0.5,7925834,4128250,0.5,8256500
0.00032187,6457501,0.5,12915002,3999976,0.5,7999952
0.00051308,6991088,0.5,13982176,9472111,0.5,18944222
0.00037003,2564070,0.5,5128140,8472711,0.5,16945422
0.00018692,4306616,0.5,8613232,1991654,0.5,3983308
0.00043893,6351073,0.5,12702146,7738260,0.5,15476520
0.00026512,2951786,0.5,5903572,5632312,0.5,11264624
0.00025821,2282957,0.5,4565914,5657958,0.5,11315916
0.0004251,4023533,0.5,8047066,9008046,0.5,18016092
0.0004909,5032662,0.5,10065324,9506797,0.5,19013594
0.00037408,4991093,0.5,9982186,7145928,0.5,14291856
0.00037193,4581510,0.5,9163020,7205282,0.5,14410564
0.00036383,8141641,0.5,16283282,2830070,0.5,5660140
0.00017881,1438869,0.5,2877738,4606968,0.5,9213936
0.00032282,5744103,0.5,11488206,5595932,0.5,11191864
0.00035882,1671472,0.5,3342944,8702405,0.5,17404810
0.00034094,7723011,0.5,15446022,3058623,0.5,6117246
0.00043201,2331936,0.5,4663872,9625217,0.5,19250434
0.00018787,3988853,0.5,7977706,2540040,0.5,5080080
0.00030184,5535108,0.5,11070216,5530792,0.5,11061584
0.00027514,7904057,0.5,15808114,689878,0.5,1379756
0.00024796,4888011,0.5,9776022,4248726,0.5,8497452
0.00019312,344170,0.5,688340,4650862,0.5,9301724
0.00039601,4419467,0.5,8838934,8008578,0.5,16017156
0.00053,9529845,0.5,19059690,7984134,0.5,15968268
0.00024104,6520307,0.5,13040614,1232847,0.5,2465694
0.00034714,7390008,0.5,14780016,3381280,0.5,6762560
