time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
5.603e-05,True,False,True,True,True,True,True,True,False,1048578,67109002,1048568,1572859
0.00278378,True,False,True,False,False,False,False,True,True,1048579,67109059,1048585,67109448
0.00277901,True,False,True,False,False,False,True,True,False,1048582,67109251,1048568,67108359
5.794e-05,True,False,True,True,True,True,True,True,True,1048574,67108742,1048580,1572872
0.00278115,True,False,True,False,False,True,True,True,True,1048586,67109508,1048581,67109192
2.098e-05,True,True,True,True,False,True,True,True,False,1048583,1572877,1048574,1572866
0.00464606,True,True,True,True,False,False,False,True,False,1048570,1572860,1048568,1572855
2.003e-05,True,True,True,True,True,True,False,True,True,1048582,1572883,1048566,1572855
0.00925207,True,False,True,False,True,True,False,True,False,1048578,67108998,1048566,67108234
2.217e-05,True,True,True,True,True,True,True,True,False,1048569,1572859,1048574,1572863
7.391e-05,True,False,True,True,True,True,False,True,False,1048568,67108354,1048581,1572873
0.00239992,True,False,True,True,False,False,False,True,True,1048566,67108234,1048567,1572855
0.00038099,True,False,True,True,False,True,True,True,False,1048582,67109250,1048585,1572878
2.098e-05,True,True,True,True,True,True,True,True,True,1048571,1572865,1048578,1572871
0.00059319,True,True,True,False,False,True,True,True,False,1048572,1572861,1048576,67108870
0.00060916,True,True,True,False,False,True,False,True,False,1048578,1572867,1048586,67109505
2.003e-05,True,True,True,True,False,True,False,True,True,1048569,1572858,1048585,1572887
0.00194788,True,False,True,True,True,False,True,True,False,1048582,67109253,1048576,1572867
0.00194192,True,False,True,True,True,False,False,True,True,1048583,67109315,1048578,1572870
0.00204682,True,False,True,True,True,False,False,True,False,1048572,67108616,1048574,1572869
0.00456405,True,True,True,True,False,False,True,True,True,1048570,1572861,1048575,1572864
0.00042009,True,False,True,True,False,True,False,True,True,1048578,67108998,1048583,1572877
0.00277996,True,False,True,False,False,True,False,True,True,1048567,67108297,1048578,67108997
0.00255084,True,False,True,True,False,False,False,True,False,1048574,67108736,1048571,1572866
0.00278902,True,False,True,False,False,True,True,True,False,1048570,67108482,1048580,67109120
2.718e-05,True,True,True,True,False,True,False,True,False,1048580,1572873,1048573,1572864
0.00280905,True,False,True,False,True,False,True,True,True,1048582,67109257,1048578,67109000
0.00061083,True,True,True,False,False,True,True,True,True,1048586,1572884,1048577,67108928
0.00195193,True,False,True,True,True,False,True,True,True,1048580,67109120,1048581,1572881
0.00010896,True,True,True,False,True,True,False,True,False,1048576,1572865,1048570,67108481
9.799e-05,True,True,True,False,True,True,True,True,False,1048566,1572851,1048578,67108992
0.00279403,True,False,True,False,True,False,True,True,False,1048573,67108680,1048574,67108739
2.003e-05,True,True,True,True,False,True,True,True,True,1048579,1572868,1048577,1572866
6.413e-05,True,False,True,True,True,True,False,True,True,1048578,67108997,1048580,1572877
0.00247288,True,True,True,False,False,False,True,True,False,1048568,1572855,1048586,67109512
0.00058889,True,True,True,False,False,True,False,True,True,1048573,1572860,1048582,67109249
0.00279117,True,False,True,False,True,True,True,True,True,1048574,67108742,1048571,67108553
0.00010896,True,True,True,False,True,True,False,True,True,1048580,1572875,1048574,67108745
0.00245905,True,False,True,True,False,False,True,True,False,1048582,67109250,1048575,1572870
0.00459099,True,True,True,True,True,False,True,True,True,1048577,1572865,1048570,1572859
0.00200486,True,True,True,False,True,False,True,True,False,1048570,1572864,1048581,67109185
0.00286698,True,False,True,False,True,False,False,True,True,1048578,67108992,1048572,67108612
0.0046041,True,True,True,True,True,False,False,True,False,1048586,1572888,1048571,1572866
0.00200605,True,True,True,False,True,False,True,True,True,1048577,1572867,1048568,67108358
0.00280309,True,False,True,False,False,False,True,True,True,1048571,67108554,1048581,67109189
0.00247693,True,True,True,False,False,False,False,True,True,1048580,1572877,1048574,67108738
0.00199294,True,True,True,False,True,False,False,True,True,1048568,1572852,1048586,67109512
0.0092361,True,False,True,False,True,False,False,True,False,1048586,67109514,1048584,67109377
0.00922585,True,False,True,False,False,False,False,True,False,1048577,67108935,1048571,67108553
0.00258303,True,True,True,False,False,False,False,True,False,1048566,1572856,1048584,67109382
0.00034404,True,False,True,True,False,True,True,True,True,1048580,67109120,1048578,1572877
0.00455904,True,True,True,True,True,False,True,True,False,1048575,1572865,1048571,1572861
0.00459194,True,True,True,True,False,False,False,True,True,1048580,1572880,1048581,1572876
0.00209904,True,True,True,False,True,False,False,True,False,1048583,1572881,1048566,67108230
0.00925112,True,False,True,False,False,True,False,True,False,1048584,67109383,1048574,67108743
0.0027709,True,False,True,False,True,True,False,True,True,1048575,67108810,1048580,67109124
9.894e-05,True,True,True,False,True,True,True,True,True,1048569,1572862,1048569,67108422
0.00241804,True,False,True,True,False,False,True,True,True,1048571,67108552,1048584,1572881
0.00248098,True,True,True,False,False,False,True,True,True,1048586,1572879,1048574,67108741
2.599e-05,True,True,True,True,True,True,False,True,False,1048575,1572862,1048573,1572868
0.00040102,True,False,True,True,False,True,False,True,False,1048575,67108810,1048584,1572877
0.00458384,True,True,True,True,True,False,False,True,True,1048566,1572859,1048574,1572866
0.00457597,True,True,True,True,False,False,True,True,False,1048576,1572872,1048579,1572872
0.00278783,True,False,True,False,True,True,True,True,False,1048585,67109446,1048569,67108416
0.00037098,True,False,True,True,False,True,False,True,True,1048572,67108616,1048570,1572865
0.00010991,True,True,True,False,True,True,False,True,True,1048574,1572870,1048581,67109188
0.00195003,True,False,True,True,True,False,True,True,False,1048574,67108741,1048584,1572879
0.00199008,True,True,True,False,True,False,True,True,False,1048574,1572862,1048582,67109248
0.000597,True,True,True,False,False,True,False,True,True,1048580,1572880,1048579,67109061
6.509e-05,True,False,True,True,True,True,True,True,False,1048568,67108357,1048583,1572878
0.00194407,True,False,True,True,True,False,False,True,True,1048575,67108808,1048579,1572870
0.00248599,True,True,True,False,False,False,False,True,True,1048576,1572874,1048572,67108616
0.00278091,True,False,True,False,False,False,True,True,True,1048582,67109256,1048583,67109318
0.0020411,True,False,True,True,True,False,False,True,False,1048566,67108232,1048571,1572856
0.00921917,True,False,True,False,True,False,False,True,False,1048568,67108355,1048568,67108354
9.99e-05,True,True,True,False,True,True,True,True,True,1048581,1572871,1048584,67109379
2.789e-05,True,True,True,True,False,True,False,True,False,1048572,1572866,1048574,1572869
7.701e-05,True,False,True,True,True,True,False,True,False,1048585,67109446,1048575,1572869
