class,time,size1,density1,universe1,size2,density2,universe2
sortedset,5.238598346710205,2287070,0.01,228707000,4688582,0.01,468858200
set,0.2878751754760742,2287070,0.01,228707000,4688582,0.01,468858200
cyroaring,0.03519320487976074,2287070,0.01,228707000,4688582,0.01,468858200
pyroaring,0.00878286361694336,2287070,0.01,228707000,4688582,0.01,468858200
set,0.3197472095489502,8354445,0.1,83544450,2492695,0.1,24926950
pyroaring,0.0015261173248291016,8354445,0.1,83544450,2492695,0.1,24926950
sortedset,6.874851942062378,8354445,0.1,83544450,2492695,0.1,24926950
cyroaring,0.0030608177185058594,8354445,0.1,83544450,2492695,0.1,24926950
pyroaring,0.0008018016815185547,2174560,0.1,21745600,4546022,0.1,45460220
set,0.2936582565307617,2174560,0.1,21745600,4546022,0.1,45460220
sortedset,4.269098520278931,2174560,0.1,21745600,4546022,0.1,45460220
cyroaring,0.0015785694122314453,2174560,0.1,21745600,4546022,0.1,45460220
cyroaring,0.0010271072387695312,2626515,0.1,26265150,5859084,0.1,58590840
sortedset,3.4914474487304688,2626515,0.1,26265150,5859084,0.1,58590840
set,0.34182119369506836,2626515,0.1,26265150,5859084,0.1,58590840
pyroaring,0.0010917186737060547,2626515,0.1,26265150,5859084,0.1,58590840
cyroaring,0.0011394023895263672,7847779,0.1,78477790,953370,0.1,9533700
pyroaring,0.0012960433959960938,7847779,0.1,78477790,953370,0.1,9533700
sortedset,6.475920915603638,7847779,0.1,78477790,953370,0.1,9533700
set,0.22615361213684082,7847779,0.1,78477790,953370,0.1,9533700
sortedset,11.409798383712769,5661716,0.01,566171600,9444608,0.01,944460800
pyroaring,0.017749547958374023,5661716,0.01,566171600,9444608,0.01,944460800
set,0.6156551837921143,5661716,0.01,566171600,9444608,0.01,944460800
cyroaring,0.054795026779174805,5661716,0.01,566171600,9444608,0.01,944460800
set,0.48154687881469727,7861275,0.04,196531875,4057156,0.04,101428900
pyroaring,0.008019208908081055,7861275,0.04,196531875,4057156,0.04,101428900
sortedset,8.663903951644897,7861275,0.04,196531875,4057156,0.04,101428900
cyroaring,0.046122074127197266,7861275,0.04,196531875,4057156,0.04,101428900
pyroaring,4.1961669921875e-05,4414032,0.999,4418450,1817231,0.999,1819050
cyroaring,3.719329833984375e-05,4414032,0.999,4418450,1817231,0.999,1819050
set,0.07262420654296875,4414032,0.999,4418450,1817231,0.999,1819050
sortedset,0.7830889225006104,4414032,0.999,4418450,1817231,0.999,1819050
pyroaring,0.0002486705780029297,8022854,0.5,16045708,1604943,0.5,3209886
sortedset,2.046412229537964,8022854,0.5,16045708,1604943,0.5,3209886
cyroaring,0.00023984909057617188,8022854,0.5,16045708,1604943,0.5,3209886
set,0.1418156623840332,8022854,0.5,16045708,1604943,0.5,3209886
pyroaring,0.002216815948486328,7609815,0.1,76098150,9962078,0.1,99620780
sortedset,10.645230770111084,7609815,0.1,76098150,9962078,0.1,99620780
set,0.7521166801452637,7609815,0.1,76098150,9962078,0.1,99620780
cyroaring,0.0025534629821777344,7609815,0.1,76098150,9962078,0.1,99620780
cyroaring,2.5033950805664062e-05,3843186,0.999,3847033,2546561,0.999,2549110
set,0.09908771514892578,3843186,0.999,3847033,2546561,0.999,2549110
sortedset,0.3785700798034668,3843186,0.999,3847033,2546561,0.999,2549110
pyroaring,4.9114227294921875e-05,3843186,0.999,3847033,2546561,0.999,2549110
cyroaring,0.03432059288024902,6157710,0.01,615771000,3458093,0.01,345809300
sortedset,7.155406713485718,6157710,0.01,615771000,3458093,0.01,345809300
set,0.3019428253173828,6157710,0.01,615771000,3458093,0.01,345809300
pyroaring,0.00978231430053711,6157710,0.01,615771000,3458093,0.01,345809300
pyroaring,0.00022530555725097656,6744930,0.5,13489860,1182404,0.5,2364808
set,0.1194303035736084,6744930,0.5,13489860,1182404,0.5,2364808
sortedset,1.6542854309082031,6744930,0.5,13489860,1182404,0.5,2364808
cyroaring,0.00021696090698242188,6744930,0.5,13489860,1182404,0.5,2364808
cyroaring,5.650520324707031e-05,447962,0.5,895924,2121099,0.5,4242198
set,0.06188011169433594,447962,0.5,895924,2121099,0.5,4242198
pyroaring,6.341934204101562e-05,447962,0.5,895924,2121099,0.5,4242198
