time,size1,density1,universe1,size2,density2,universe2
0.07603908,19175277,0.01,1917527700,33856365,0.01,3385636500
0.01005602,9628444,0.01,962844400,692463,0.01,69246300
0.06409597,26524331,0.04,663108275,29762249,0.04,744056225
0.00533581,9150529,0.1,91505290,12288293,0.1,122882930
0.00027394,38081869,0.999,38119988,14763483,0.999,14778261
0.07101607,19013459,0.01,1901345900,29447016,0.01,2944701600
0.01271701,28711134,0.1,287111340,19112436,0.1,191124360
5.007e-05,1562051,0.999,1563614,12660662,0.999,12673335
0.00018692,11970952,0.999,11982934,15059190,0.999,15074264
4.101e-05,8091461,0.999,8099560,1753060,0.999,1754814
0.03252721,36093973,0.01,3609397300,2478151,0.01,247815100
0.00079799,22359435,0.5,44718870,12825664,0.5,25651328
0.01820207,38148579,0.1,381485790,37237405,0.1,372374050
0.00011921,29667741,0.999,29697438,4386154,0.999,4390544
0.02397418,17288706,0.01,1728870600,3323011,0.01,332301100
0.00023413,14276985,0.999,14291276,26018710,0.999,26044754
0.01483798,29521738,0.1,295217380,31657470,0.1,316574700
0.00018716,10418645,0.999,10429074,27505165,0.999,27532697
0.02764297,5465623,0.01,546562300,15871249,0.01,1587124900
0.00018311,8706318,0.999,8715033,38660161,0.999,38698859
0.00135708,11950036,0.5,23900072,36925045,0.5,73850090
0.00694084,468436,0.1,4684360,18792504,0.1,187925040
0.08542395,29780366,0.01,2978036600,28883987,0.01,2888398700
0.00791097,19681450,0.1,196814500,2944091,0.1,29440910
0.00106001,17057475,0.5,34114950,28600305,0.5,57200610
0.00034595,35205297,0.999,35240537,21109712,0.999,21130842
0.00126982,34946007,0.5,69892014,13997315,0.5,27994630
0.0010519,13180547,0.5,26361094,29398883,0.5,58797766
0.00063705,979345,0.5,1958690,22851514,0.5,45703028
0.00103807,23130258,0.5,46260516,25940302,0.5,51880604
0.07933903,25696561,0.01,2569656100,27035030,0.01,2703503000
0.01609707,33889238,0.1,338892380,32638953,0.1,326389530
0.00137901,21695065,0.5,43390130,34403621,0.5,68807242
0.03441,15790675,0.01,1579067500,9072347,0.01,907234700
0.06717801,27170081,0.04,679252025,32900107,0.04,822502675
0.10351801,38940766,0.01,3894076600,36022865,0.01,3602286500
0.01536298,34593636,0.1,345936360,21476164,0.1,214761640
0.00014091,6805034,0.999,6811845,27216773,0.999,27244017
0.04513001,30762254,0.04,769056350,15177196,0.04,379429900
0.0592742,20605946,0.04,515148650,36508304,0.04,912707600
0.00767016,16988854,0.1,169888540,15267776,0.1,152677760
0.01099586,6111931,0.1,61119310,27807918,0.1,278079180
0.06472015,28084753,0.04,702118825,27295477,0.04,682386925
0.02744818,4309265,0.04,107731625,33502973,0.04,837574325
0.05160213,26416508,0.04,660412700,20253974,0.04,506349350
0.0003581,21442369,0.999,21463832,32822916,0.999,32855771
0.00116992,28333759,0.5,56667518,26163319,0.5,52326638
0.05158305,15550098,0.01,1555009800,18817572,0.01,1881757200
0.00135016,39810939,0.5,79621878,8240629,0.5,16481258
0.03756595,13469510,0.01,1346951000,11388636,0.01,1138863600
0.05279803,28978037,0.01,2897803700,12060288,0.01,1206028800
0.00924397,23004584,0.1,230045840,3827231,0.1,38272310
0.01566005,37268278,0.1,372682780,9922691,0.1,99226910
0.01266003,29406997,0.1,294069970,13023965,0.1,130239650
0.00088215,18874977,0.5,37749954,22918797,0.5,45837594
0.00019908,7772071,0.5,15544142,1767324,0.5,3534648
0.00164413,39081661,0.5,78163322,31624349,0.5,63248698
0.04762101,14803886,0.04,370097150,34728126,0.04,868203150
0.0056982,13115271,0.1,131152710,8716226,0.1,87162260
0.00070381,18993454,0.5,37986908,14785798,0.5,29571596
0.07984591,21592199,0.01,2159219900,31695236,0.01,3169523600
5.293e-05,624142,0.999,624766,23523353,0.999,23546899
0.08746696,38046323,0.01,3804632300,22104500,0.01,2210450000
7.01e-05,2077111,0.999,2079190,23135145,0.999,23158303
0.07634521,19231711,0.01,1923171100,34486774,0.01,3448677400
0.00137281,16212317,0.5,32424634,36146690,0.5,72293380
0.001297,31743792,0.5,63487584,26097182,0.5,52194364
0.01570892,38573105,0.1,385731050,4232420,0.1,42324200
0.04098392,9210790,0.04,230269750,39792480,0.04,994812000
7.701e-05,493937,0.999,494431,33731005,0.999,33764769
0.00034499,22049515,0.999,22071586,28923850,0.999,28952802
0.00106597,31056603,0.5,62113206,9134266,0.5,18268532
0.03806901,24977935,0.01,2497793500,6852947,0.01,685294700
0.00705194,8779168,0.1,87791680,16883486,0.1,168834860
0.01694202,37984495,0.1,379844950,22564758,0.1,225647580
0.01386404,18347198,0.1,183471980,32073226,0.1,320732260
0.04620504,27788289,0.04,694707225,16739908,0.04,418497700
0.02007794,26577533,0.04,664438325,2062305,0.04,51557625
0.000916,25750298,0.5,51500596,14027899,0.5,28055798
0.00103998,4644568,0.5,9289136,31965260,0.5,63930520
0.00028706,30506539,0.999,30537076,16716007,0.999,16732739
0.00886106,16074607,0.1,160746070,19904016,0.1,199040160
0.00016999,10875605,0.999,10886491,12568860,0.999,12581441
0.04059696,38457022,0.01,3845702200,4679088,0.01,467908800
0.00019693,25562353,0.999,25587940,10383156,0.999,10393549
0.00844002,18410746,0.1,184107460,17283720,0.1,172837200
0.00054193,35868957,0.999,35904861,38865793,0.999,38904697
0.01600194,34238204,0.1,342382040,32645503,0.1,326455030
0.08701181,35856592,0.01,3585659200,23802674,0.01,2380267400
0.00048995,4625521,0.5,9251042,16961888,0.5,33923776
0.04876685,31138227,0.01,3113822700,9837314,0.01,983731400
0.00019288,12949637,0.999,12962599,12531811,0.999,12544355
0.01955485,12639034,0.04,315975850,6835359,0.04,170883975
0.00015497,35178624,0.999,35213837,6698151,0.999,6704855
0.0386939,6308650,0.01,630865000,28047251,0.01,2804725100
0.01203895,27920818,0.1,279208180,13888556,0.1,138885560
0.00023913,13678852,0.999,13692544,31396031,0.999,31427458
0.08112907,28218822,0.01,2821882200,26471607,0.01,2647160700
0.00038815,12591767,0.5,25183534,5770700,0.5,11541400
0.0095861,20777430,0.1,207774300,20060618,0.1,200606180
0.01698017,36551358,0.1,365513580,32731972,0.1,327319720
0.01694393,17718084,0.1,177180840,39585115,0.1,395851150
0.00117302,12123817,0.5,24247634,32969648,0.5,65939296
0.01227999,27456860,0.1,274568600,19873824,0.1,198738240
0.001652,38229788,0.5,76459576,36045038,0.5,72090076
0.00150681,38761422,0.5,77522844,23488649,0.5,46977298
0.04909205,20460073,0.04,511501825,22916985,0.04,572924625
0.05848813,29800137,0.01,2980013700,14205522,0.01,1420552200
0.01526403,20235144,0.1,202351440,35589761,0.1,355897610
0.00041294,9336691,0.5,18673382,12729002,0.5,25458004
0.00158215,37273100,0.5,74546200,32532392,0.5,65064784
0.03316188,10013271,0.04,250331775,24177325,0.04,604433125
0.04217005,24065859,0.01,2406585900,9412765,0.01,941276500
0.00033593,35995834,0.999,36031865,20250407,0.999,20270677
0.066046,18444954,0.01,1844495400,26214413,0.01,2621441300
0.00042605,37401962,0.999,37439401,27232378,0.999,27259637
0.05532217,9925564,0.01,992556400,38052929,0.01,3805292900
0.02803302,82235,0.01,8223500,38946322,0.01,3894632200
0.00032496,29973964,0.999,30003967,20038832,0.999,20058890
4.697e-05,23904956,0.999,23928884,266074,0.999,266340
0.00063896,11210625,0.5,22421250,18768115,0.5,37536230
0.00104403,30615487,0.5,61230974,9235609,0.5,18471218
0.00019503,31135204,0.999,31166370,10389792,0.999,10400192
0.02965307,15070614,0.01,1507061400,6941696,0.01,694169600
0.10159492,37464238,0.01,3746423800,33169277,0.01,3316927700
0.01486015,32785093,0.1,327850930,23335131,0.1,233351310
7.606e-05,35516346,0.999,35551897,930653,0.999,931584
0.04756403,30962358,0.01,3096235800,9456157,0.01,945615700
0.00107813,28162032,0.5,56324064,19894745,0.5,39789490
7.606e-05,32378987,0.999,32411398,210357,0.999,210567
0.03330207,3382273,0.01,338227300,33590694,0.01,3359069400
0.0408411,31843481,0.04,796087025,12068763,0.04,301719075
0.00075197,2931604,0.5,5863208,25256160,0.5,50512320
0.0790689,32014946,0.01,3201494600,20984751,0.01,2098475100
0.09226704,39357116,0.01,3935711600,24266808,0.01,2426680800
0.00050807,34716327,0.999,34751078,33516473,0.999,33550023
0.06611204,15782704,0.01,1578270400,33939274,0.01,3393927400
0.02655005,7830805,0.01,783080500,10317033,0.01,1031703300
0.00120711,39489572,0.5,78979144,2487034,0.5,4974068
0.03494096,15599450,0.04,389986250,14722121,0.04,368053025
0.00972891,5135505,0.01,513550500,2470537,0.01,247053700
0.02053285,5085148,0.01,508514800,10586746,0.01,1058674600
0.01489902,26947380,0.1,269473800,32222431,0.1,322224310
0.02378798,30055939,0.04,751398475,2389236,0.04,59730900
