time,size1,density1,universe1,size2,density2,universe2
0.00021219,3599610,0.5,7199220,4337487,0.5,8674974
0.00033689,8765001,0.5,17530002,5760129,0.5,11520258
3.481e-05,440612,0.5,881224,1527917,0.5,3055834
0.000144,2103636,0.5,4207272,7479159,0.5,14958318
0.00037313,7446750,0.5,14893500,6394643,0.5,12789286
0.00043201,7447512,0.5,14895024,7001542,0.5,14003084
0.00011992,2136601,0.5,4273202,2412129,0.5,4824258
1.693e-05,127185,0.5,254370,2554048,0.5,5108096
0.00051808,8536843,0.5,17073686,9168246,0.5,18336492
0.00017905,9034431,0.5,18068862,2995697,0.5,5991394
0.00033712,9851581,0.5,19703162,5434461,0.5,10868922
7.105e-05,887619,0.5,1775238,8840210,0.5,17680420
0.00018001,2983774,0.5,5967548,5462760,0.5,10925520
0.00021815,3668742,0.5,7337484,6556841,0.5,13113682
0.000453,7506938,0.5,15013876,9378517,0.5,18757034
8.297e-05,1142136,0.5,2284272,8043068,0.5,16086136
0.000139,6868526,0.5,13737052,2347266,0.5,4694532
0.00014687,2194507,0.5,4389014,9695488,0.5,19390976
0.00037193,7157202,0.5,14314404,5710758,0.5,11421516
2.408e-05,105881,0.5,211762,7481711,0.5,14963422
0.00036812,9682155,0.5,19364310,6187663,0.5,12375326
0.00018406,3973446,0.5,7946892,3220128,0.5,6440256
0.00033808,5203124,0.5,10406248,7170557,0.5,14341114
0.00025201,4147813,0.5,8295626,5405721,0.5,10811442
0.00028205,8279782,0.5,16559564,4715942,0.5,9431884
0.00034285,6015801,0.5,12031602,7364448,0.5,14728896
0.00039506,7696778,0.5,15393556,6795136,0.5,13590272
0.00043511,7358082,0.5,14716164,8344778,0.5,16689556
0.00010896,3321736,0.5,6643472,1975160,0.5,3950320
0.000211,3623924,0.5,7247848,6393349,0.5,12786698
0.00030208,8156886,0.5,16313772,4681598,0.5,9363196
0.00019097,3074452,0.5,6148904,6896618,0.5,13793236
0.00018811,7203477,0.5,14406954,3083582,0.5,6167164
0.00047898,8012246,0.5,16024492,8155036,0.5,16310072
0.00015998,5259504,0.5,10519008,2756671,0.5,5513342
3.314e-05,9031973,0.5,18063946,362672,0.5,725344
0.00026488,4747339,0.5,9494678,5856912,0.5,11713824
0.00018382,3215995,0.5,6431990,4183202,0.5,8366404
0.00013018,8224658,0.5,16449316,2287259,0.5,4574518
7.296e-05,977682,0.5,1955364,9414496,0.5,18828992
0.00016499,8243120,0.5,16486240,3007386,0.5,6014772
0.00013304,1769189,0.5,3538378,4406116,0.5,8812232
3.099e-05,4165191,0.5,8330382,428612,0.5,857224
0.00040913,8371123,0.5,16742246,6869768,0.5,13739536
5.102e-05,5142115,0.5,10284230,852683,0.5,1705366
0.00033617,7175298,0.5,14350596,5874166,0.5,11748332
9.298e-05,1643011,0.5,3286022,2277153,0.5,4554306
0.00014305,2400297,0.5,4800594,7871303,0.5,15742606
5.507e-05,2195702,0.5,4391404,1075959,0.5,2151918
0.00050616,8554565,0.5,17109130,8240441,0.5,16480882
0.00010395,2720019,0.5,5440038,2153661,0.5,4307322
0.00023293,4070160,0.5,8140320,5239959,0.5,10479918
0.00035501,6006641,0.5,12013282,9879667,0.5,19759334
0.0001061,1761554,0.5,3523108,6064774,0.5,12129548
0.00021791,5858228,0.5,11716456,3812845,0.5,7625690
0.00024009,4072276,0.5,8144552,6153777,0.5,12307554
0.00014019,7023350,0.5,14046700,2384332,0.5,4768664
0.00016403,4674258,0.5,9348516,3043280,0.5,6086560
0.00026894,4888088,0.5,9776176,5455809,0.5,10911618
0.00020504,8310693,0.5,16621386,3639474,0.5,7278948
8.893e-05,4460453,0.5,8920906,1635499,0.5,3270998
8.178e-05,1285957,0.5,2571914,3367826,0.5,6735652
7.606e-05,1158437,0.5,2316874,3397491,0.5,6794982
6.104e-05,9726009,0.5,19452018,928474,0.5,1856948
0.00022793,3758516,0.5,7517032,7233372,0.5,14466744
2.313e-05,340906,0.5,681812,327351,0.5,654702
0.000139,2263781,0.5,4527562,5646257,0.5,11292514
0.00029898,3623241,0.5,7246482,3882397,0.5,7764794
0.00022197,6108607,0.5,12217214,4045589,0.5,8091178
0.00038099,7814819,0.5,15629638,6451011,0.5,12902022
1.502e-05,3043365,0.5,6086730,79336,0.5,158672
0.00014901,9838972,0.5,19677944,2497388,0.5,4994776
0.00019503,3199223,0.5,6398446,5499505,0.5,10999010
0.00021195,3638070,0.5,7276140,8277710,0.5,16555420
0.0005641,9623806,0.5,19247612,8759442,0.5,17518884
0.00029302,4666869,0.5,9333738,9416472,0.5,18832944
0.00016904,2952184,0.5,5904368,4835081,0.5,9670162
0.00020909,3170964,0.5,6341928,9566504,0.5,19133008
9.394e-05,9767540,0.5,19535080,1550205,0.5,3100410
0.00024104,7061558,0.5,14123116,4083808,0.5,8167616
0.00013113,3533863,0.5,7067726,2487408,0.5,4974816
0.00033498,9292066,0.5,18584132,5821811,0.5,11643622
0.000108,4030907,0.5,8061814,1947065,0.5,3894130
8.106e-05,4349774,0.5,8699548,1485932,0.5,2971864
0.00030208,5203842,0.5,10407684,6349317,0.5,12698634
0.00026822,9970386,0.5,19940772,4749662,0.5,9499324
9.394e-05,3339280,0.5,6678560,1704599,0.5,3409198
1.597e-05,5596781,0.5,11193562,96874,0.5,193748
7.105e-05,3149762,0.5,6299524,1467157,0.5,2934314
0.00017691,9175988,0.5,18351976,2878004,0.5,5756008
0.00015092,2833951,0.5,5667902,3523759,0.5,7047518
0.00012803,1951488,0.5,3902976,9613792,0.5,19227584
0.00011802,5928621,0.5,11857242,2054070,0.5,4108140
0.00013709,8407091,0.5,16814182,2511116,0.5,5022232
7.892e-05,6065255,0.5,12130510,1401640,0.5,2803280
7.486e-05,1368766,0.5,2737532,2956504,0.5,5913008
0.00017691,7806258,0.5,15612516,2906810,0.5,5813620
0.00032401,5406281,0.5,10812562,6659212,0.5,13318424
0.00054407,9909240,0.5,19818480,8593091,0.5,17186182
0.00014997,3337555,0.5,6675110,2463464,0.5,4926928
