time,size1,density1,universe1,size2,density2,universe2
0.03307199,38435246,0.1,384352460,57376483,0.1,573764830
0.03066993,8953915,0.1,89539150,60963985,0.1,609639850
0.04046106,25433509,0.1,254335090,75734053,0.1,757340530
0.0437839,46755362,0.1,467553620,77510427,0.1,775104270
0.02353501,14008830,0.1,140088300,44476197,0.1,444761970
0.04800105,52022710,0.1,520227100,86057182,0.1,860571820
0.05133796,86905188,0.1,869051880,83038146,0.1,830381460
0.05047894,28715957,0.1,287159570,97796433,0.1,977964330
0.03420591,33982606,0.1,339826060,63355546,0.1,633555460
0.04534101,94906170,0.1,949061700,1617874,0.1,16178740
0.01536894,24314153,0.1,243141530,27040303,0.1,270403030
0.05026889,87911905,0.1,879119050,67370325,0.1,673703250
0.04983711,54344321,0.1,543443210,89699732,0.1,896997320
0.05137706,35229901,0.1,352299010,98247521,0.1,982475210
0.03498507,31865973,0.1,318659730,64628779,0.1,646287790
0.04372382,31767829,0.1,317678290,82142566,0.1,821425660
0.04801393,52490698,0.1,524906980,89807822,0.1,898078220
0.03586102,31785334,0.1,317853340,69034377,0.1,690343770
0.04224396,43991039,0.1,439910390,76246893,0.1,762468930
0.03003812,39819609,0.1,398196090,54444733,0.1,544447330
0.02857208,7666912,0.1,76669120,57955945,0.1,579559450
0.03337288,58582766,0.1,585827660,52032346,0.1,520323460
0.03745508,56183206,0.1,561832060,66603714,0.1,666037140
0.04769492,83704545,0.1,837045450,66192526,0.1,661925260
0.02520895,45833071,0.1,458330710,30707103,0.1,307071030
0.01265192,22570339,0.1,225703390,18585753,0.1,185857530
0.02554703,31124846,0.1,311248460,45747559,0.1,457475590
0.02339697,944746,0.1,9447460,49520424,0.1,495204240
0.04660702,41209509,0.1,412095090,89895169,0.1,898951690
0.04003811,66720616,0.1,667206160,69530636,0.1,695306360
0.0352931,67316377,0.1,673163770,27899670,0.1,278996700
0.04451013,93298563,0.1,932985630,422829,0.1,4228290
0.05506301,99524898,0.1,995248980,58050499,0.1,580504990
0.02210402,35489256,0.1,354892560,37733641,0.1,377336410
0.04875612,42281999,0.1,422819990,90798937,0.1,907989370
0.02707195,49493643,0.1,494936430,30129316,0.1,301293160
0.04350495,78873527,0.1,788735270,52958736,0.1,529587360
0.03789282,55041135,0.1,550411350,67599207,0.1,675992070
0.03079796,56299894,0.1,562998940,33028158,0.1,330281580
0.04598212,28325865,0.1,283258650,91160053,0.1,911600530
0.02212501,32884642,0.1,328846420,39078877,0.1,390788770
0.01816797,24243108,0.1,242431080,33015431,0.1,330154310
0.0484941,92001122,0.1,920011220,42990677,0.1,429906770
0.01017904,19820365,0.1,198203650,4396439,0.1,43964390
0.03141594,53987721,0.1,539877210,50809329,0.1,508093290
0.02216196,41903542,0.1,419035420,16692895,0.1,166928950
0.0458529,10905195,0.1,109051950,94383039,0.1,943830390
0.03416014,25724039,0.1,257240390,65232450,0.1,652324500
0.03330612,68225266,0.1,682252660,3602997,0.1,36029970
0.02297497,368822,0.1,3688220,47412051,0.1,474120510
0.04477191,81027835,0.1,810278350,52212800,0.1,522128000
