time,size1,density1,universe1,size2,density2,universe2
0.01592708,77183897,0.25,308735588,4823842,0.25,19295368
0.01697612,62813306,0.25,251253224,68561007,0.25,274244028
0.02917814,37204568,0.1,372045680,48252040,0.1,482520400
0.00127411,3660346,0.8,4575432,45474383,0.8,56842978
0.0237639,98329179,0.25,393316716,89003336,0.25,356013344
0.00465798,19843106,0.25,79372424,16080442,0.25,64321768
0.00013399,4532891,0.8,5666113,4110477,0.8,5138096
0.00279999,14257723,0.8,17822153,97809564,0.8,122261955
0.00741506,29883444,0.25,119533776,25990919,0.25,103963676
0.00261188,61917330,0.8,77396662,67588114,0.8,84485142
0.00289011,23785049,0.8,29731311,95145000,0.8,118931250
0.00085688,29988820,0.8,37486025,7562056,0.8,9452570
0.05431485,44315842,0.1,443158420,98616356,0.1,986163560
0.01073694,21940066,0.25,87760264,49105310,0.25,196421240
0.01405215,63202480,0.25,252809920,28287437,0.25,113149748
0.02976799,37232589,0.1,372325890,50433141,0.1,504331410
0.00170493,52455370,0.8,65569212,27981671,0.8,34977088
0.00266409,77455214,0.8,96819017,44671944,0.8,55839930
0.00184202,38298691,0.8,47873363,51885334,0.8,64856667
0.04467106,19228543,0.1,192285430,81658339,0.1,816583390
0.05206585,80822216,0.1,808222160,83410409,0.1,834104090
0.00202918,70195613,0.8,87744516,19665323,0.8,24581653
0.01716995,2367829,0.25,9471316,88829913,0.25,355319652
0.00183797,58574552,0.8,73218190,27953120,0.8,34941400
0.02033901,84558168,0.25,338232672,65745204,0.25,262980816
0.05447197,57750042,0.1,577500420,94165742,0.1,941657420
0.03809404,60056594,0.1,600565940,59450360,0.1,594503600
0.01575708,32214208,0.25,128856832,71767071,0.25,287068284
0.00171804,14456079,0.8,18070098,57348843,0.8,71686053
0.01993704,36040520,0.1,360405200,7305952,0.1,73059520
0.01861596,75108802,0.25,300435208,72382482,0.25,289529928
0.02725291,10274685,0.1,102746850,52649247,0.1,526492470
0.00483799,11745271,0.25,46981084,22152688,0.25,88610752
0.00195003,47594295,0.8,59492868,48965749,0.8,61207186
0.001652,61558431,0.8,76948038,5367451,0.8,6709313
0.01903796,52551205,0.25,210204820,81877169,0.25,327508676
0.00049376,6354505,0.8,7943131,17183836,0.8,21479795
0.02110004,97904502,0.25,391618008,13579093,0.25,54316372
0.00248098,36285999,0.8,45357498,74994190,0.8,93742737
0.00311279,78778280,0.8,98472850,76013610,0.8,95017012
0.03352904,52873376,0.1,528733760,47980331,0.1,479803310
0.036726,64272342,0.1,642723420,29418886,0.1,294188860
0.05767584,93146314,0.1,931463140,77820335,0.1,778203350
0.01565599,71250171,0.25,285000684,23928871,0.25,95715484
0.00197887,38503121,0.8,48128901,52435908,0.8,65544885
0.02118802,90660300,0.25,362641200,63048350,0.25,252193400
0.04514384,44320505,0.1,443205050,76192134,0.1,761921340
0.00215292,37563099,0.8,46953873,60504813,0.8,75631016
0.00280905,16437326,0.8,20546657,96304606,0.8,120380757
0.02051115,96059297,0.25,384237188,11541546,0.25,46166184
0.01796603,35558122,0.25,142232488,83315001,0.25,333260004
0.05191994,86057530,0.1,860575300,69791904,0.1,697919040
0.01873207,17508784,0.1,175087840,32908036,0.1,329080360
0.01810908,60381690,0.25,241526760,75485801,0.25,301943204
0.04401112,57025910,0.1,570259100,72423495,0.1,724234950
0.00697017,33042556,0.25,132170224,8307355,0.25,33229420
0.05836821,99107465,0.1,991074650,57321041,0.1,573210410
0.01717901,81468178,0.25,325872712,9833549,0.25,39334196
0.05074883,65793959,0.1,657939590,84499042,0.1,844990420
0.00323892,78906242,0.8,98632802,83813601,0.8,104767001
0.00733519,30475004,0.25,121900016,26295821,0.25,105183284
0.04499483,75986453,0.1,759864530,45790830,0.1,457908300
0.04816389,80028849,0.1,800288490,64351561,0.1,643515610
0.00343585,6120775,0.1,61207750,3730527,0.1,37305270
0.03312707,52758693,0.1,527586930,51404702,0.1,514047020
0.013165,34191394,0.25,136765576,58490244,0.25,233960976
0.02254081,53787888,0.25,215151552,99213907,0.25,396855628
0.00353885,13914412,0.25,55657648,15020235,0.25,60080940
0.00317383,90106142,0.8,112632677,56708327,0.8,70885408
0.00156093,26765152,0.8,33456440,45158635,0.8,56448293
0.0214622,89578537,0.25,358314148,73706826,0.25,294827304
0.002352,64871822,0.8,81089777,47804413,0.8,59755516
0.05129313,68467153,0.1,684671530,82868826,0.1,828688260
0.01182604,47639299,0.25,190557196,47650690,0.25,190602760
